feature,bin,rows,error_rate,large_margin_error_rate,fp_count,fn_count,positive_rate
Flotation Column 06 Air Flow__std,"(4.328, 6.141]",976,0.0860655737704918,0.02971311475409836,54,30,0.0942622950819672
hour,"(-0.001, 6.0]",1134,0.11904761904761904,0.0291005291005291,96,39,0.11816578483245149
month,"(7.0, 9.0]",901,0.09877913429522753,0.02885682574916759,67,22,0.13318534961154274
Ore Pulp Density,"(1.722, 1.832]",976,0.14856557377049182,0.028688524590163935,101,44,0.13934426229508196
Flotation Column 01 Level__std,"(-0.001, 9.363]",976,0.12807377049180327,0.028688524590163935,86,39,0.12090163934426229
Flotation Column 02 Air Flow__std,"(4.504, 56.783]",976,0.125,0.028688524590163935,81,41,0.14754098360655737
Ore Pulp Flow__std,"(3.881, 4.69]",976,0.12397540983606557,0.028688524590163935,82,39,0.10245901639344263
Starch Flow,"(2907.818, 3529.574]",976,0.11270491803278689,0.028688524590163935,71,39,0.10553278688524591
Flotation Column 01 Level__std,"(20.394, 304.08]",976,0.10655737704918032,0.028688524590163935,68,36,0.13217213114754098
Flotation Column 05 Air Flow,"(299.925, 300.139]",976,0.10040983606557377,0.028688524590163935,60,38,0.1096311475409836
Flotation Column 03 Level__std,"(-0.001, 7.186]",976,0.09733606557377049,0.028688524590163935,60,35,0.12090163934426229
Flotation Column 06 Air Flow__std,"(6.141, 59.55]",976,0.0942622950819672,0.028688524590163935,61,31,0.13012295081967212
dayofweek,"(-0.001, 1.0]",1099,0.11464968152866242,0.028207461328480437,81,45,0.1164695177434031
Flotation Column 05 Air Flow__std,"(-0.001, 0.0212]",976,0.1362704918032787,0.027663934426229508,91,42,0.13012295081967212
Flotation Column 02 Air Flow__std,"(2.911, 3.422]",976,0.11885245901639344,0.027663934426229508,87,29,0.11270491803278689
Starch Flow__std,"(-0.001, 277.862]",976,0.1096311475409836,0.027663934426229508,70,37,0.14241803278688525
Flotation Column 04 Air Flow,"(299.717, 299.911]",976,0.10040983606557377,0.027663934426229508,60,38,0.09836065573770492
Flotation Column 04 Level__std,"(19.556, 30.426]",976,0.09938524590163934,0.027663934426229508,64,33,0.10245901639344263
day,"(23.0, 31.0]",940,0.0797872340425532,0.027659574468085105,45,30,0.1202127659574468
Flotation Column 07 Air Flow,"(199.727, 287.793]",976,0.12192622950819672,0.02663934426229508,82,37,0.13934426229508196
Flotation Column 04 Level__std,"(52.35, 222.744]",976,0.12192622950819672,0.02663934426229508,78,41,0.13422131147540983
Starch Flow,"(3529.574, 6270.159]",976,0.11987704918032786,0.02663934426229508,76,41,0.11782786885245902
Ore Pulp pH__std,"(0.0895, 0.605]",976,0.11782786885245902,0.02663934426229508,72,43,0.13422131147540983
Flotation Column 03 Air Flow__std,"(1.235, 1.455]",976,0.11372950819672131,0.02663934426229508,67,44,0.1096311475409836
Flotation Column 06 Air Flow,"(271.081, 299.872]",976,0.10245901639344263,0.02663934426229508,64,36,0.10450819672131148
Flotation Column 03 Air Flow__std,"(1.66, 53.706]",976,0.10245901639344263,0.02663934426229508,66,34,0.11987704918032786
Flotation Column 05 Level__std,"(22.722, 35.502]",976,0.09836065573770492,0.02663934426229508,59,37,0.11782786885245902
Flotation Column 03 Air Flow,"(299.89, 299.947]",976,0.08196721311475409,0.02663934426229508,45,35,0.0942622950819672
dayofweek,"(1.0, 3.0]",1109,0.09648331830477908,0.026149684400360685,66,41,0.11541929666366095
Amina Flow,"(501.967, 549.266]",976,0.1444672131147541,0.025614754098360656,97,44,0.11782786885245902
Flotation Column 04 Air Flow,"(293.336, 299.717]",976,0.13012295081967212,0.025614754098360656,84,43,0.14651639344262296
Starch Flow__std,"(277.862, 587.561]",976,0.1260245901639344,0.025614754098360656,86,37,0.1014344262295082
Flotation Column 06 Air Flow,"(196.511, 271.081]",976,0.12090163934426229,0.025614754098360656,81,37,0.1413934426229508
Ore Pulp pH,"(9.799, 10.034]",976,0.1168032786885246,0.025614754098360656,77,37,0.10450819672131148
Flotation Column 06 Air Flow,"(299.872, 300.094]",976,0.10758196721311475,0.025614754098360656,67,38,0.10553278688524591
Ore Pulp Density,"(1.651, 1.696]",976,0.10553278688524591,0.025614754098360656,62,41,0.10245901639344263
Flotation Column 04 Level__std,"(-0.001, 19.556]",976,0.10553278688524591,0.025614754098360656,77,26,0.11168032786885246
Flotation Column 05 Level__std,"(-0.001, 14.244]",976,0.10553278688524591,0.025614754098360656,76,27,0.11475409836065574
Ore Pulp Density,"(1.696, 1.722]",976,0.10450819672131148,0.025614754098360656,71,31,0.11065573770491803
Flotation Column 05 Air Flow,"(299.692, 299.925]",976,0.1014344262295082,0.025614754098360656,61,38,0.1014344262295082
Ore Pulp Flow__std,"(-0.001, 3.232]",976,0.0942622950819672,0.025614754098360656,65,27,0.13012295081967212
Ore Pulp Density__std,"(0.0282, 0.124]",976,0.0932377049180328,0.025614754098360656,46,45,0.11065573770491803
