experiment,fold,model,preprocess,sampling,class_weight,valid_positive_rate,accuracy,balanced_accuracy,precision,recall,f1,brier,roc_auc,pr_auc,log_loss,best_f1_threshold,best_oof_f1,oof_accuracy,oof_balanced_accuracy,oof_precision,oof_recall,oof_f1,oof_brier,oof_roc_auc,oof_pr_auc,oof_log_loss
extra_trees_balanced,oof,extra_trees,raw_no_clip,none,balanced,0.1159384915792043,,,,,,,,,,0.3,0.5821428571428572,0.8857700756651208,0.7991214507832254,0.5054263565891473,0.6863157894736842,0.5821428571428572,0.07142798289306869,0.885582841698393,0.6079698715423257,0.25551958976530786
lightgbm_base,1,lightgbm,raw_no_clip,none,none,0.11585365853658537,0.9073170731707317,0.6182940108892923,0.8518518518518519,0.24210526315789474,0.3770491803278688,0.07779837659057394,0.8556370235934664,0.5902164832968011,0.3422664656331808,,,,,,,,,,,
lightgbm_base,2,lightgbm,raw_no_clip,none,none,0.11585365853658537,0.9060975609756098,0.6221778584392015,0.8,0.25263157894736843,0.384,0.0770519611483585,0.8729437386569873,0.610586797279114,0.31517634045553433,,,,,,,,,,,
lightgbm_base,3,lightgbm,raw_no_clip,none,none,0.115995115995116,0.9035409035409036,0.616218377435301,0.7666666666666667,0.24210526315789474,0.368,0.08696672498493398,0.8242948531549869,0.4913448290031231,0.39532524565653293,,,,,,,,,,,
lightgbm_base,4,lightgbm,raw_no_clip,none,none,0.115995115995116,0.9047619047619048,0.6169089851701076,0.7931034482758621,0.24210526315789474,0.3709677419354839,0.08464673271286446,0.827144518755452,0.5160560457723516,0.38366519298968865,,,,,,,,,,,
lightgbm_base,5,lightgbm,raw_no_clip,none,none,0.115995115995116,0.9181929181929182,0.656513521372492,0.9375,0.3157894736842105,0.47244094488188976,0.07366025415472924,0.8548706019191626,0.6119979850297016,0.3326802083047552,,,,,,,,,,,
lightgbm_base,oof,lightgbm,raw_no_clip,none,none,0.1159384915792043,,,,,,,,,,0.105,0.5157526254375729,0.898706370515011,0.7104062890522829,0.5785340314136126,0.4652631578947368,0.5157526254375729,0.08002354087213687,0.8466279171147084,0.5617274062188257,0.35381043711144655
lightgbm_missing_indicator,1,lightgbm,median_indicator,none,none,0.11585365853658537,0.9073170731707317,0.6182940108892923,0.8518518518518519,0.24210526315789474,0.3770491803278688,0.07779837659057394,0.8556370235934664,0.5902164832968011,0.3422664656331808,,,,,,,,,,,
lightgbm_missing_indicator,2,lightgbm,median_indicator,none,none,0.11585365853658537,0.9060975609756098,0.6221778584392015,0.8,0.25263157894736843,0.384,0.0770519611483585,0.8729437386569873,0.610586797279114,0.31517634045553433,,,,,,,,,,,
lightgbm_missing_indicator,3,lightgbm,median_indicator,none,none,0.115995115995116,0.9035409035409036,0.616218377435301,0.7666666666666667,0.24210526315789474,0.368,0.08696672498493398,0.8242948531549869,0.4913448290031231,0.39532524565653293,,,,,,,,,,,
lightgbm_missing_indicator,4,lightgbm,median_indicator,none,none,0.115995115995116,0.9047619047619048,0.6169089851701076,0.7931034482758621,0.24210526315789474,0.3709677419354839,0.08464673271286446,0.827144518755452,0.5160560457723516,0.38366519298968865,,,,,,,,,,,
